gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSAPLG00000000582	6.72719891651844	-1.13471044844354	1.41622099382147	0.000797570000367603	0.0119046751727303
ENSAPLG00000000588	84.5270876478856	3.19304943958853	0.568384865806004	2.40327648999048e-11	6.61719171424826e-09
ENSAPLG00000000598	153.963590212876	-0.595629452696392	0.393184553382405	0.00446930833202437	0.0405307071651909
ENSAPLG00000000622	3777.67505875927	-1.33603879162722	0.345391358590938	3.25383316536618e-06	0.000161504504716666
ENSAPLG00000000628	194.207024891853	0.665669823592296	0.2047305577246	1.9538652270122e-05	0.000687235406516201
ENSAPLG00000000660	88.7027402186667	-1.02825097557094	0.469707227555556	0.000385377979253734	0.0069750719294022
ENSAPLG00000000674	17.9529542399598	-0.809651487006478	0.524139548756537	0.00252948213587163	0.0271651687305517
ENSAPLG00000000687	74.0108765038765	0.597717062283678	0.272684356638382	0.000759958263839253	0.0115159483516906
ENSAPLG00000000708	63.13221417866	-0.822381285809929	0.53511733871424	0.0025235379332007	0.0271238408584305
ENSAPLG00000000725	101.066003779399	-1.29922043027422	0.363612752700893	8.21065200301779e-06	0.000328959899600784
ENSAPLG00000000775	106.400701685037	1.25432959939252	0.279006347397814	2.5212705467575e-07	2.00170319911588e-05
ENSAPLG00000000805	63.3547046914668	-1.29398461224896	0.485050381444523	0.000106492622471655	0.00264514592592263
ENSAPLG00000000830	64.0679454856766	1.05710174611832	0.416828064178063	0.000148870506178686	0.00340376894073919
ENSAPLG00000000836	851.495054931706	-1.90236349069744	0.364046992266146	1.27189030339556e-08	1.49632112874926e-06
ENSAPLG00000000862	10.1218890073303	0.745175238601551	0.599669090239649	0.00569646803187654	0.048024751010107
ENSAPLG00000000886	10.3194453807541	-1.03787399540891	0.881191843156854	0.00289643460755605	0.029960762230376
ENSAPLG00000000904	469.944739969252	1.14233868130302	0.323776788800187	7.5114273166562e-06	0.000311555708028358
ENSAPLG00000000958	69.6266396741646	-0.820905578370588	0.669199545196499	0.00492258244646787	0.0432472093956149
ENSAPLG00000000975	33.1517192905864	-0.928596211121546	0.519524937503007	0.00117423891937339	0.0157796737856813
ENSAPLG00000000990	270.692213417516	-0.873184397398808	0.281752787166945	2.43654589566718e-05	0.00081476331875527
ENSAPLG00000001014	109.062208730779	-0.676156961756266	0.329265366665481	0.000857763523011357	0.0125316276804724
ENSAPLG00000001031	5840.01026239085	1.45981473645858	0.697954460834977	0.000329382814926732	0.00609805866661922
ENSAPLG00000001050	1804.19526820368	-1.09645467490915	0.46113647439946	0.00022925071359878	0.00473163235196462
ENSAPLG00000001153	64.3785988748964	2.099641335594	0.488504578265706	5.03131518472312e-07	3.72058570317154e-05
ENSAPLG00000001160	24.442055597514	-1.1482232509561	0.552626113891085	0.000476011862568371	0.00827966332459314
ENSAPLG00000001183	1575.99473281327	2.02269223816299	0.333870092273607	9.60657816444046e-11	2.10709708518685e-08
ENSAPLG00000001248	92.2181470847944	-1.05187770746052	0.412627704134694	0.000143359345430695	0.00331005955746013
ENSAPLG00000001284	293.933952497002	1.61931575132609	0.382604406594547	1.13789986797228e-06	6.94601990161759e-05
ENSAPLG00000001299	460.374530687534	-0.626762751405402	0.300330523615798	0.000911496617341527	0.0132386955387393
ENSAPLG00000001395	75.4101013208974	0.821509674943787	0.317792909422379	0.000135087919821238	0.00317272735101023
ENSAPLG00000001398	9.50865642778943	0.988751505877679	0.748412167969262	0.00286827727534993	0.0297556186571445
ENSAPLG00000001411	51.8926083705974	1.11830523771064	0.29737188615344	3.15993948034197e-06	0.000157887169170291
ENSAPLG00000001429	622.287906941494	-0.943465387091378	0.694018839792928	0.00297123721317845	0.0304681305671492
ENSAPLG00000001442	1026.78714899689	-1.62844587933023	0.272670325633605	2.98717871055154e-10	5.60247531786196e-08
ENSAPLG00000001444	45.7790180374311	0.790892108922435	0.368678481995254	0.000523108851631546	0.00879162551813486
ENSAPLG00000001460	153.007893060746	-0.898121102701461	0.402716212888426	0.000367871364085806	0.00670319627770859
ENSAPLG00000001464	106.069891686598	0.898860746964165	0.388595010106839	0.000289910040718321	0.00556027319627678
ENSAPLG00000001466	26.4575054935112	1.08402516099795	0.434109353875176	0.000166223169235576	0.00369603785752163
ENSAPLG00000001467	732.193592805904	0.817812499643262	0.496630669631251	0.00193862479612468	0.0224599315010291
ENSAPLG00000001586	18.2124014798157	1.0266772060528	0.669259619678063	0.00182921738503573	0.021588260542967
ENSAPLG00000001598	69.1871498272431	-0.728737288992698	0.310998941595811	0.000326107990123202	0.00606345330486258
ENSAPLG00000001610	3124.9980707344	5.91976426259431	0.459855979139158	4.83846885234756e-40	3.13073127091149e-36
ENSAPLG00000001665	268.04299079312	-1.83424235942176	0.290850037516922	3.14936820869205e-11	8.49082791430914e-09
ENSAPLG00000001819	110.583743905241	0.746810977206598	0.577260668929898	0.00510061549536089	0.0443297952488014
ENSAPLG00000001856	635.879750171991	0.80486591598822	0.360268727808803	0.000396985622868639	0.00710814638944088
ENSAPLG00000001860	161.592922221705	-0.697877096764563	0.414748141062249	0.00221098267378696	0.02466531890803
ENSAPLG00000001879	1551.52558731025	0.582892549089067	0.266853843236231	0.00082752173781845	0.0122528132827329
ENSAPLG00000001907	128.096328866359	0.955954572153419	0.383143166215409	0.000167254457244248	0.00371258993344394
ENSAPLG00000001914	12.9345577165846	-1.03323953519456	0.706470451569444	0.00206954994995624	0.02357574463238
