significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,
TRUE,"9,61918421414328E-06",53,350,9,"0,025714285714286","0,169811320754717",GO:0090079,GO:MF,translation regulator activity, nucleic acid binding,25952,10247
TRUE,"1,07100434291567E-05",71,350,10,"0,028571428571429","0,140845070422535",GO:0045182,GO:MF,translation regulator activity,25952,7195,
TRUE,"1,88773428026673E-05",1904,350,55,"0,157142857142857","0,028886554621849",GO:0003676,GO:MF,nucleic acid binding,25952,407,
TRUE,"4,42008044233856E-05",5,350,4,"0,011428571428571","0,8",GO:1990948,GO:MF,ubiquitin ligase inhibitor activity,25952,12230,
TRUE,"0,000102042920781",35,350,7,"0,02","0,2",GO:0003743,GO:MF,translation initiation factor activity,25952,458,
TRUE,"0,000131188468711",6,350,4,"0,011428571428571","0,666666666666667",GO:0055105,GO:MF,ubiquitin-protein transferase inhibitor activity,25952,9622,
TRUE,"0,000131726838037",23,350,6,"0,017142857142857","0,260869565217391",GO:0019843,GO:MF,rRNA binding,25952,4615,
TRUE,"0,000460491496057",16,350,5,"0,014285714285714","0,3125",GO:0048027,GO:MF,mRNA 5'-UTR binding,25952,8407,
TRUE,"0,001564995843931",5273,350,106,"0,302857142857143","0,020102408496112",GO:0005515,GO:MF,protein binding,25952,1891,
TRUE,"0,005442641167739",4272,350,88,"0,251428571428571","0,02059925093633",GO:0003824,GO:MF,catalytic activity,25952,520,
TRUE,"0,008036432856601",14,350,4,"0,011428571428571","0,285714285714286",GO:0055106,GO:MF,ubiquitin-protein transferase regulator activity,25952,9623,
TRUE,"0,019113681284008",52,350,6,"0,017142857142857","0,115384615384615",GO:0016835,GO:MF,carbon-oxygen lyase activity,25952,3820,
TRUE,"0,032241108649193",139,350,9,"0,025714285714286","0,064748201438849",GO:0016829,GO:MF,lyase activity,25952,3814,
